participant,sentence
INV,should we go outside [>] ?
CHI,0 [<] . [+ trn]
CHI,xxx . [+ trn]
INV,to the closet ?
CHI,0 .
CHI,0 .
INV,excuse me Teresa .
INV,wait a minute .
INV,let her move .
INV,thank you .
CHI,0 .
INV,what do we needta do ?
CHI,xxx . [+ trn]
INV,look up .
CHI,0 .
CHI,xxx . [+ trn]
INV,unhook it .
CHI,xxx . [+ trn]
INV,unhook it .
CHI,xxx . [+ trn]
CHI,xxx . [+ trn]
CHI,xxx . [+ trn]
INV,open .
CHI,0 .
INV,push it back .
CHI,0 .
CHI,blocks .
INV,you want the blocks ?
INV,okay .
INV,let's bring them over this way .
INV,let's get out_of the way .
INV,let's go shut the doors first .
CHI,0 .
INV,shut the door .
INV,okay .
INV,let's shut the doors .
CHI,0 .
INV,push it Chi .
CHI,0 .
INV,push it .
CHI,0 .
INV,0 .
CHI,0 .
INV,what are you going to build ?
CHI,0 .
CHI,0 .
CHI,0 .
INV,0 .
INV,look at all those blocks .
INV,don't throw the bucket .
INV,there's your gas station .
CHI,0 .
INV,0 .
CHI,0 .
INV,there you go .
INV,what are you going to build ?
CHI,xxx .
INV,what does that say ?
INV,gas pump .
CHI,0 .
CHI,0 .
INV,bless you .
INV,0 . [+ trn]
CHI,0 .
CHI,0 .
CHI,xxx .
INV,use this yellow one .
CHI,0 .
INV,0 .
INV,you need a kleenex ?
INV,0 .
CHI,0 .
INV,&-uh oh .
INV,you knocked it down .
INV,what's this ?
INV,use this green block .
CHI,0 .
INV,www .
CHI,0 .
CHI,0 .
INV,0 .
CHI,0 .
INV,let's hook this .
INV,hook that up Chi .
INV,can you hook it ?
CHI,0 .
INV,thank you .
CHI,0 .
INV,0 .
INV,0 .
INV,we have another one to hook .
INV,can you hook that ?
CHI,0 .
INV,thank you .
INV,0 .
CHI,0 .
INV,where's he going ?
INV,going to the gas station ?
CHI,0 .
INV,0 .
CHI,0 .
CHI,xxx . [+ trn]
INV,that's the ladder .
INV,what ?
INV,hook it up ?
INV,okay .
INV,I'll hook it up for you .
INV,how do we do this Chi ?
INV,there you go .
INV,there's the ladder .
CHI,0 .
INV,I don't think it will fit .
INV,hook it there .
INV,hook it on that one .
CHI,0 .
INV,there you go .
CHI,0 .
INV,gas .
INV,the gas station .
CHI,0 .
